trial,benchmark_id,benchmark_manifest_sha256,matrix_benchmark_count,matrix_config_count,matrix_trial_count,matrix_expected_row_count,matrix_benchmark_set_sha256,matrix_contract_sha256,benchmark_hash_status,benchmark_content_sha256,benchmark_expected_sha256,circuit,config,candidate_capture,capture_manifest_sha256,capture_integrity_sha256,capture_created_at,verdict,proof_time_sec,certificate_time_sec,model_checker_time_sec,candidate_generation_sec,candidate_processing_sec,llm_generation_sec,llm_provider,llm_model,llm_total_tokens,llm_call_count,capture_meta_schema,offline_time_sec,end_to_end_sec,exit,engine,tier,candidate_count,pool_candidate_count,working_candidate_count,selected_candidate_count,affine_selected_candidate_count,quadratic_tested_count,quadratic_timeout_count,quadratic_winner_index,unsupported_candidate_count,candidate_errors,closure_candidate_count,linear_candidate_count,quadratic_candidate_count,candidate_sha256,certificate_status,error,fast_results
0,2024/btor2/2024/hku/arithmetic_circuits/93.c/93.c.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,93.c.btor2,static-quadratic-oracle,,,,,unsat,11.248693,11.248693,0.000000,0.029835,0.001380,0.000000,,,,,,11.250073,11.279907,0,static-houdini-certificate,,316,2432,2000,316,316,0,0,,0,[],0,316,0,11e98505af209ef9f6085a43d8917755228422e9c800573a613ca8b43d67333c,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_30/fib_30.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,fib_30.btor2,static-quadratic-oracle,,,,,unsat,2.309279,2.309279,0.000000,0.007958,0.000106,0.000000,,,,,,2.309385,2.317344,0,static-houdini-certificate,,27,1056,27,27,26,1,0,0,0,[],0,26,1,c32d4e8310cc9e135775d95da0a13fdbb98dd0ee0c2bb9b1da1406da6e1c6a49,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_37/fib_37.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,bc94066b5bdaade1ec8c162f91b9745224020425bf60ae251b0814b99b2d2c89,bc94066b5bdaade1ec8c162f91b9745224020425bf60ae251b0814b99b2d2c89,fib_37.btor2,static-quadratic-oracle,,,,,unsat,2.732878,2.732878,0.000000,0.007781,0.000631,0.000000,,,,,,2.733509,2.741290,0,static-houdini-certificate,,146,1056,840,146,146,0,0,,0,[],0,146,0,3adf6758f7449c0cd9218230cf31823d14b8b8c2124cf37da13daeec269daae7,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/sosylab/bitvector/byte_add_1-1.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,44c6298003b91d36e85dbb9a649a5b44b28f64c4015d396eaf9ac140ff358794,44c6298003b91d36e85dbb9a649a5b44b28f64c4015d396eaf9ac140ff358794,byte_add_1-1.btor2,static-quadratic-oracle,,,,,unknown,70.077422,70.003878,0.073544,0.016927,0.001035,0.000000,,,,,,70.078457,70.095384,255,static-houdini+ic3ia,,64,2936,2000,241,241,475,1,,0,[],0,64,0,59e50331728dd7dece200a29c14b8cd47c3fc98187c3924cbd5ef9b9d1da7a6d,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/loop-invgen/up.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,static-quadratic-oracle,,,,,unknown,66.385523,66.349137,0.036387,0.027030,0.000957,0.000000,,,,,,66.386480,66.413509,255,static-houdini+ic3ia,,64,2936,2000,241,241,936,0,,0,[],0,64,0,70cec6a7c3f52a870d0ee278cd0cc99f818c76a733beff248899ade4ca8402b3,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/loop-simple/deep-nested.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,c064ba114ce5207b51596dcd04ddbad264482da930aa56428d44d7d72290d03a,c064ba114ce5207b51596dcd04ddbad264482da930aa56428d44d7d72290d03a,deep-nested.btor2,static-quadratic-oracle,,,,,unknown,70.048555,70.002207,0.046348,0.029579,0.001333,0.000000,,,,,,70.049888,70.079467,255,static-houdini+ic3ia,,64,3152,2000,352,352,619,1,,0,[],0,64,0,6a539feea9f39dc3de6789d9c4357c0602285baff18ff71470e0a71e23ddd10a,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/loop-zilu/benchmark04_conjunctive.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,7a0fea741ef809c72423d7d229f45a7ffee394e71c7d0b81546c36af04046079,7a0fea741ef809c72423d7d229f45a7ffee394e71c7d0b81546c36af04046079,benchmark04_conjunctive.btor2,static-quadratic-oracle,,,,,unknown,63.100424,63.062306,0.038118,0.022040,0.001053,0.000000,,,,,,63.101477,63.123516,255,static-houdini+ic3ia,,64,2936,2000,247,247,936,0,,0,[],0,64,0,b8a927f276cfd501c8b50c6193388b8f777492e4e33993cf18ca457f2912a233,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/loops-crafted-1/mono-crafted_8.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,d83418d9b5aa572cf4bebf9357a0aeff049109a79337f23738b4ae5b28bca9b6,d83418d9b5aa572cf4bebf9357a0aeff049109a79337f23738b4ae5b28bca9b6,mono-crafted_8.btor2,static-quadratic-oracle,,,,,unknown,59.287437,59.246931,0.040506,0.024297,0.000947,0.000000,,,,,,59.288384,59.312681,255,static-houdini+ic3ia,,64,2936,2000,247,247,936,0,,0,[],0,64,0,b61f5740158fb9458de1e400b1cf567f89fbdcb6e467c6d4f506a091ce1757f1,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/dijkstra-u_valuebound1.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,27ee3e350e8cf4de52b849c26803dc2c9ed17cd613994f432b93fbd50c869f71,27ee3e350e8cf4de52b849c26803dc2c9ed17cd613994f432b93fbd50c869f71,dijkstra-u_valuebound1.btor2,static-quadratic-oracle,,,,,unknown,68.134993,67.783203,0.351791,0.035468,0.000673,0.000000,,,,,,68.135667,68.171135,255,static-houdini+ic3ia,,64,2864,2000,145,145,864,0,,0,[],0,64,0,dd8d3ddfc328cee8cb6975c9796065f79a3826ada5231f67d9a531316ce56d7a,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/egcd-ll_unwindbound10.btor2,4392ff103b6d8d03e26cc8d5d08882c582176628104a855ebfe097b87ed34650,27,1,1,27,9eeed1942fc47358c44fc20a9428e18029bac0e097046ecad6cdc75d645517d7,42487eabc0f748dfa2dda1af87232dab4d9d17d4d7e5e6e7c8744db0c293ea29,posthoc-verified-2026-07-12,e4c403715215037126383eb0b64039f5aa8842700bc68690b3966ef529ffa865,e4c403715215037126383eb0b64039f5aa8842700bc68690b3966ef529ffa865,egcd-ll_unwindbound10.btor2,static-quadratic-oracle,,,,,unknown,70.112319,70.022324,0.089996,0.018474,0.000574,0.000000,,,,,,70.112893,70.131367,255,static-houdini+ic3ia,,64,2864,2000,145,145,611,1,,0,[],0,64,0,7feec3fe6e64ed9031b4f11152a4cfd0441409cfe642f3f18b105ca6aefbb90c,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
