trial,benchmark_id,benchmark_manifest_sha256,matrix_benchmark_count,matrix_config_count,matrix_trial_count,matrix_expected_row_count,matrix_benchmark_set_sha256,matrix_contract_sha256,benchmark_hash_status,benchmark_content_sha256,benchmark_expected_sha256,circuit,config,candidate_capture,capture_manifest_sha256,capture_integrity_sha256,capture_created_at,verdict,proof_time_sec,certificate_time_sec,model_checker_time_sec,candidate_generation_sec,candidate_processing_sec,llm_generation_sec,llm_provider,llm_model,llm_total_tokens,llm_call_count,capture_meta_schema,offline_time_sec,end_to_end_sec,exit,engine,tier,candidate_count,pool_candidate_count,working_candidate_count,selected_candidate_count,affine_selected_candidate_count,quadratic_tested_count,quadratic_timeout_count,quadratic_winner_index,unsupported_candidate_count,candidate_errors,closure_candidate_count,linear_candidate_count,quadratic_candidate_count,candidate_sha256,certificate_status,error,fast_results
0,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,llm-linear,gate2_llm_capture_v3,b28df3002b1b2f1c4f2eda41c8ea4dccfc1b1ee884aaee4686d3aeec81c21fb0,11d1c65e92b377e8920295629ad5e1c9755e2ea9de29c1af5d5839920b8d6e36,2026-07-11T15:07:55.410290+00:00,unsat,8.208494,0.000000,8.208494,33.915687,0.040776,33.915687,openrouter,deepseek/deepseek-v4-flash,12708,5,pono-llm-candidate-meta-v3,8.249271,42.164958,1,,,15,15,,,,,,,0,[],,15,,9e1cbfd09e9b1898bc7786784c2eebc7c2035f16b2a020d750b6b4256b47f5c7,,,{}
0,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,static-ranked,,,,,unsat,2.126749,0.000000,2.126749,0.000516,0.000000,0.000000,,,,,,2.126749,2.127265,1,,,20,20,,,,,,,,,,20,,acc0bc1c054cf8948d643333880ecb015708867d96b55b602f40fd4d199a3f9b,,,{}
1,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,llm-linear,gate2_llm_capture_v3,b28df3002b1b2f1c4f2eda41c8ea4dccfc1b1ee884aaee4686d3aeec81c21fb0,11d1c65e92b377e8920295629ad5e1c9755e2ea9de29c1af5d5839920b8d6e36,2026-07-11T15:07:55.410290+00:00,unsat,8.079913,0.000000,8.079913,33.915687,0.002010,33.915687,openrouter,deepseek/deepseek-v4-flash,12708,5,pono-llm-candidate-meta-v3,8.081923,41.997611,1,,,15,15,,,,,,,0,[],,15,,9e1cbfd09e9b1898bc7786784c2eebc7c2035f16b2a020d750b6b4256b47f5c7,,,{}
1,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,static-ranked,,,,,unsat,2.132733,0.000000,2.132733,0.000494,0.000000,0.000000,,,,,,2.132733,2.133227,1,,,20,20,,,,,,,,,,20,,acc0bc1c054cf8948d643333880ecb015708867d96b55b602f40fd4d199a3f9b,,,{}
2,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,llm-linear,gate2_llm_capture_v3,b28df3002b1b2f1c4f2eda41c8ea4dccfc1b1ee884aaee4686d3aeec81c21fb0,11d1c65e92b377e8920295629ad5e1c9755e2ea9de29c1af5d5839920b8d6e36,2026-07-11T15:07:55.410290+00:00,unsat,8.115250,0.000000,8.115250,33.915687,0.002004,33.915687,openrouter,deepseek/deepseek-v4-flash,12708,5,pono-llm-candidate-meta-v3,8.117254,42.032941,1,,,15,15,,,,,,,0,[],,15,,9e1cbfd09e9b1898bc7786784c2eebc7c2035f16b2a020d750b6b4256b47f5c7,,,{}
2,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,static-ranked,,,,,unsat,2.146622,0.000000,2.146622,0.000487,0.000000,0.000000,,,,,,2.146622,2.147109,1,,,20,20,,,,,,,,,,20,,acc0bc1c054cf8948d643333880ecb015708867d96b55b602f40fd4d199a3f9b,,,{}
3,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,llm-linear,gate2_llm_capture_v3,b28df3002b1b2f1c4f2eda41c8ea4dccfc1b1ee884aaee4686d3aeec81c21fb0,11d1c65e92b377e8920295629ad5e1c9755e2ea9de29c1af5d5839920b8d6e36,2026-07-11T15:07:55.410290+00:00,unsat,8.115183,0.000000,8.115183,33.915687,0.002001,33.915687,openrouter,deepseek/deepseek-v4-flash,12708,5,pono-llm-candidate-meta-v3,8.117184,42.032871,1,,,15,15,,,,,,,0,[],,15,,9e1cbfd09e9b1898bc7786784c2eebc7c2035f16b2a020d750b6b4256b47f5c7,,,{}
3,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,static-ranked,,,,,unsat,2.141237,0.000000,2.141237,0.006640,0.000000,0.000000,,,,,,2.141237,2.147877,1,,,20,20,,,,,,,,,,20,,acc0bc1c054cf8948d643333880ecb015708867d96b55b602f40fd4d199a3f9b,,,{}
4,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,llm-linear,gate2_llm_capture_v3,b28df3002b1b2f1c4f2eda41c8ea4dccfc1b1ee884aaee4686d3aeec81c21fb0,11d1c65e92b377e8920295629ad5e1c9755e2ea9de29c1af5d5839920b8d6e36,2026-07-11T15:07:55.410290+00:00,unsat,8.125962,0.000000,8.125962,33.915687,0.002043,33.915687,openrouter,deepseek/deepseek-v4-flash,12708,5,pono-llm-candidate-meta-v3,8.128005,42.043692,1,,,15,15,,,,,,,0,[],,15,,9e1cbfd09e9b1898bc7786784c2eebc7c2035f16b2a020d750b6b4256b47f5c7,,,{}
4,2024/btor2/2024/sosylab/loop-invgen/up.btor2,93f4382d915f62dd064ab987887d3b652898ae4b394f84c9caf53376e553ec25,1,2,5,10,68a1577a2be131da8cdb448292c4fa9fe44cd0aa189edf479de6703044630e23,b6f5cf0b5c340bd3315b0b8c783fda40ea5bf7c6a658fe6e18865d036c978437,posthoc-verified-2026-07-12,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,cdb52c840b94fc6de99a88d2f61db9724c49d507ef8bbac4ab74b6ca3da3dea5,up.btor2,static-ranked,,,,,unsat,2.134068,0.000000,2.134068,0.000460,0.000000,0.000000,,,,,,2.134068,2.134528,1,,,20,20,,,,,,,,,,20,,acc0bc1c054cf8948d643333880ecb015708867d96b55b602f40fd4d199a3f9b,,,{}
