trial,benchmark_id,benchmark_manifest_sha256,matrix_benchmark_count,matrix_config_count,matrix_trial_count,matrix_expected_row_count,matrix_benchmark_set_sha256,matrix_contract_sha256,benchmark_hash_status,benchmark_content_sha256,benchmark_expected_sha256,circuit,config,candidate_capture,capture_manifest_sha256,capture_integrity_sha256,capture_created_at,verdict,proof_time_sec,certificate_time_sec,model_checker_time_sec,candidate_generation_sec,candidate_processing_sec,llm_generation_sec,llm_provider,llm_model,llm_total_tokens,llm_call_count,capture_meta_schema,offline_time_sec,end_to_end_sec,exit,engine,tier,candidate_count,pool_candidate_count,working_candidate_count,selected_candidate_count,affine_selected_candidate_count,quadratic_tested_count,quadratic_timeout_count,quadratic_winner_index,unsupported_candidate_count,candidate_errors,closure_candidate_count,linear_candidate_count,quadratic_candidate_count,candidate_sha256,certificate_status,error,fast_results
0,2020/hwmcc20/btor2/bv/2019/goel/crafted/paper_v3/paper_v3.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,paper_v3.btor2,static-linear,,,,,unsat,0.082385,0.000000,0.082385,0.013462,0.000000,0.000000,,,,,,0.082385,0.095847,1,,,20,20,,,,,,,,,,20,,4dc6710359816716fe103079889423ec46972c37574f6798c0a4da494b1b9100,,,{}
0,2020/hwmcc20/btor2/bv/2019/goel/crafted/paper_v3/paper_v3.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,paper_v3.btor2,static-oracle,,,,,unsat,0.079242,0.079242,0.000000,0.005119,0.000076,0.000000,,,,,,0.079317,0.084436,0,static-houdini-certificate,,11,141,141,11,11,0,0,,0,[],0,11,0,9bc324be30cd32dc0fca336437a18a8c3aa3906d8c8cec02be82a94dd09511b3,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2020/hwmcc20/btor2/bv/2019/goel/crafted/paper_v3/paper_v3.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,paper_v3.btor2,static-quadratic-oracle,,,,,unsat,0.065117,0.065117,0.000000,0.001680,0.000067,0.000000,,,,,,0.065184,0.066864,0,static-houdini-certificate,,11,213,141,11,11,0,0,,0,[],0,11,0,9bc324be30cd32dc0fca336437a18a8c3aa3906d8c8cec02be82a94dd09511b3,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/93.c/93.c.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,93.c.btor2,static-linear,,,,,unknown,0.039075,0.000000,0.039075,0.001802,0.000000,0.000000,,,,,,0.039075,0.040877,255,,,20,20,,,,,,,,,,20,,6f264899c8eb239ce91c2a8d19678c3f0308a759fd96df847e72cd55207da584,,,{}
0,2024/btor2/2024/hku/arithmetic_circuits/93.c/93.c.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,93.c.btor2,static-oracle,,,,,unsat,14.211791,14.211791,0.000000,0.014976,0.001577,0.000000,,,,,,14.213368,14.228344,0,static-houdini-certificate,,316,2000,2000,316,316,0,0,,0,[],0,316,0,11e98505af209ef9f6085a43d8917755228422e9c800573a613ca8b43d67333c,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/93.c/93.c.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,93.c.btor2,static-quadratic-oracle,,,,,unsat,11.019057,11.019057,0.000000,0.014073,0.001434,0.000000,,,,,,11.020491,11.034564,0,static-houdini-certificate,,316,2432,2000,316,316,0,0,,0,[],0,316,0,11e98505af209ef9f6085a43d8917755228422e9c800573a613ca8b43d67333c,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_30/fib_30.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,fib_30.btor2,static-linear,,,,,unknown,0.126557,0.000000,0.126557,0.001985,0.000000,0.000000,,,,,,0.126557,0.128542,255,,,20,20,,,,,,,,,,20,,5c03851e320b47c411bfe54101273f8e064c1e7cc437f218d0109ea923ef3df4,,,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_30/fib_30.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,fib_30.btor2,static-oracle,,,,,unknown,2.491428,2.430471,0.060957,0.004847,0.000111,0.000000,,,,,,2.491539,2.496386,255,static-houdini+ic3ia,,26,840,840,26,26,0,0,,0,[],0,26,0,ca4be08685ef2e9227fb6484206a17aa0d44eaa22633880f4661916197966375,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_30/fib_30.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,fib_30.btor2,static-quadratic-oracle,,,,,unsat,2.635621,2.635621,0.000000,0.006013,0.000119,0.000000,,,,,,2.635740,2.641752,0,static-houdini-certificate,,27,1056,27,27,26,1,0,0,0,[],0,26,1,c32d4e8310cc9e135775d95da0a13fdbb98dd0ee0c2bb9b1da1406da6e1c6a49,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_37/fib_37.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,3,1,63,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,9de78f3cc0e8503b0278341b377a704f2f2de51edbcfb02f49b192d577b3d26e,posthoc-verified-2026-07-12,bc94066b5bdaade1ec8c162f91b9745224020425bf60ae251b0814b99b2d2c89,bc94066b5bdaade1ec8c162f91b9745224020425bf60ae251b0814b99b2d2c89,fib_37.btor2,static-linear,,,,,unsat,0.043114,0.000000,0.043114,0.001712,0.000000,0.000000,,,,,,0.043114,0.044825,1,,,20,20,,,,,,,,,,20,,715a7ff7f74efb52127d4dd89564157cd3d796173371474c84434bddf910eeba,,,{}
