trial,benchmark_id,benchmark_manifest_sha256,matrix_benchmark_count,matrix_config_count,matrix_trial_count,matrix_expected_row_count,matrix_benchmark_set_sha256,matrix_contract_sha256,benchmark_hash_status,benchmark_content_sha256,benchmark_expected_sha256,circuit,config,candidate_capture,capture_manifest_sha256,capture_integrity_sha256,capture_created_at,verdict,proof_time_sec,certificate_time_sec,model_checker_time_sec,candidate_generation_sec,candidate_processing_sec,llm_generation_sec,llm_provider,llm_model,llm_total_tokens,llm_call_count,capture_meta_schema,offline_time_sec,end_to_end_sec,exit,engine,tier,candidate_count,pool_candidate_count,working_candidate_count,selected_candidate_count,affine_selected_candidate_count,quadratic_tested_count,quadratic_timeout_count,quadratic_winner_index,unsupported_candidate_count,candidate_errors,closure_candidate_count,linear_candidate_count,quadratic_candidate_count,candidate_sha256,certificate_status,error,fast_results
0,2020/hwmcc20/btor2/bv/2019/goel/crafted/paper_v3/paper_v3.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,5f4bea23079862d10f28b221780ba084438de5d814b1091ae8bf7f745bdcb964,paper_v3.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unsat,0.038137,0.038137,0.000000,129.497184,0.009486,129.497184,,,15837,5,pono-llm-candidate-meta-v2-migrated,0.047624,129.544807,0,llm-houdini-certificate,,16,18,,16,,,,,1,"[{""error"": ""ule requires equal bit-vector widths, got 8 and 9"", ""index"": 6}]",,18,,b22efa4f10be0a3d2111956b06189eba6d540cfb18a9b650051702573b59fc3a,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/93.c/93.c.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,47163e14a1fe4780f9383bb98be91fcde5ba0c166eb70f4353c269b129173666,93.c.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unsat,0.038092,0.038092,0.000000,46.046922,0.005727,46.046922,,,14205,5,pono-llm-candidate-meta-v2-migrated,0.043820,46.090742,0,llm-houdini-certificate,,7,10,,7,,,,,0,[],,10,,49c6ebb29a32ca75cb3d4f029a75d436145eb2aa3a97533a1c0186529a1e3608,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_30/fib_30.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,1bb400e569c8c3147d38245dd81458261c4cc0aac565286e731dabf78fdf31d0,fib_30.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unsat,0.067933,0.067933,0.000000,108.737544,0.005472,108.737544,openrouter,deepseek/deepseek-v4-flash,13700,5,pono-llm-candidate-meta-v2-migrated,0.073405,108.810949,0,llm-houdini-certificate,,11,16,,11,,,,,0,[],,9,,afa48bd51c4fb331e1b28a3e2dbed2b2a5d1e1ef12dcb4616e775d40bc60ad12,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/hku/arithmetic_circuits/fib_37/fib_37.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,bc94066b5bdaade1ec8c162f91b9745224020425bf60ae251b0814b99b2d2c89,bc94066b5bdaade1ec8c162f91b9745224020425bf60ae251b0814b99b2d2c89,fib_37.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unsat,0.020119,0.020119,0.000000,35.982627,0.005472,35.982627,,,12703,5,pono-llm-candidate-meta-v2-migrated,0.025591,36.008218,0,llm-houdini-certificate,,10,10,,10,,,,,0,[],,10,,fb63418e1a5ccd0091e8b04e95424597bfa17c4d037fcd4d5d76a37433be1406,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/dijkstra-u_valuebound1.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,27ee3e350e8cf4de52b849c26803dc2c9ed17cd613994f432b93fbd50c869f71,27ee3e350e8cf4de52b849c26803dc2c9ed17cd613994f432b93fbd50c869f71,dijkstra-u_valuebound1.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unknown,0.040080,0.040080,0.000000,37.866557,0.005640,37.866557,openrouter,deepseek/deepseek-v4-flash,13617,5,pono-llm-candidate-meta-v2-migrated,0.045719,37.912277,,llm-houdini-certificate,,4,20,,4,,,,,0,[],,20,,68fae16f34950bbc82c766266109665bde3059feb738e82256499642df3e236e,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/egcd-ll_unwindbound10.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,e4c403715215037126383eb0b64039f5aa8842700bc68690b3966ef529ffa865,e4c403715215037126383eb0b64039f5aa8842700bc68690b3966ef529ffa865,egcd-ll_unwindbound10.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unknown,0.418075,0.418075,0.000000,48.879365,0.006710,48.879365,openrouter,deepseek/deepseek-v4-flash,15532,5,pono-llm-candidate-meta-v2-migrated,0.424785,49.304149,,llm-houdini-certificate,,3,20,,3,,,,,3,"[{""error"": ""mul requires equal bit-vector widths, got 64 and 32"", ""index"": 3}, {""error"": ""mul requires equal bit-vector widths, got 64 and 32"", ""index"": 9}, {""error"": ""mul requires equal bit-vector widths, got 64 and 32"", ""index"": 10}]",,14,,a1277519cd217e65c59f50c508153c4985349ea9a6da246a4ccf014d39194e4f,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/egcd3-ll_unwindbound2.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,ab4af5b27e33acf693ab72193f78e0193688e8d125da6dbabebb9f63c4d8f904,ab4af5b27e33acf693ab72193f78e0193688e8d125da6dbabebb9f63c4d8f904,egcd3-ll_unwindbound2.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unknown,0.046894,0.046894,0.000000,37.635740,0.011137,37.635740,openrouter,deepseek/deepseek-v4-flash,14999,5,pono-llm-candidate-meta-v2-migrated,0.058031,37.693771,,llm-houdini-certificate,,1,13,,1,,,,,0,[],,13,,342a52f1b520a3305867d51a1b8f4d78f34e91bc1369c724c8e417a2b577f41e,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/freire1_valuebound1.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,3419db378385752856c2bf03bb9b2f227f257ff5f7f119ee5cb60bf60c95ef91,3419db378385752856c2bf03bb9b2f227f257ff5f7f119ee5cb60bf60c95ef91,freire1_valuebound1.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unknown,0.066540,0.066540,0.000000,35.754117,0.008299,35.754117,openrouter,deepseek/deepseek-v4-flash,12080,5,pono-llm-candidate-meta-v2-migrated,0.074839,35.828955,,llm-houdini-certificate,,1,6,,1,,,,,0,[],,6,,c71e759c1d481607c29b0f32609d0634b65509e6d83013a7eba6baccb1c09521,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/hard-ll_valuebound20.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,6db2488767df2a27d060c36e19917239dd8b673bc15b35e4a28f8ee636a8daeb,6db2488767df2a27d060c36e19917239dd8b673bc15b35e4a28f8ee636a8daeb,hard-ll_valuebound20.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unknown,0.161140,0.161140,0.000000,35.710887,0.008491,35.710887,openrouter,deepseek/deepseek-v4-flash,13467,5,pono-llm-candidate-meta-v2-migrated,0.169631,35.880517,,llm-houdini-certificate,,1,20,,1,,,,,4,"[{""error"": ""unsupported predicate_ast form: div"", ""index"": 1}, {""error"": ""mul requires equal bit-vector widths, got 64 and 32"", ""index"": 7}, {""error"": ""ult requires equal bit-vector widths, got 64 and 32"", ""index"": 8}, {""error"": ""mul requires equal bit-vector widths, got 64 and 32"", ""index"": 11}]",,15,,42e7744185a400482ea18005719e08f68bd443e24ab7163850f8141a323e4640,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
0,2024/btor2/2024/sosylab/nla-digbench-scaling/lcm1_unwindbound2.btor2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,21,1,1,21,3acd046d3a77a1e9401600bef088a5e3bdfd5a7b70ee1f88f93312fb68f2d142,4a7ed3e9719b33b21f3617b8c0404678ad565557258e0ad9384ba6df7078e51a,posthoc-verified-2026-07-12,927372e149dafc1119ce5ee8aa99eea94acd22912610f86d7c9b3225fbcfe796,927372e149dafc1119ce5ee8aa99eea94acd22912610f86d7c9b3225fbcfe796,lcm1_unwindbound2.btor2,llm-houdini-cert,phase1_2_frozen_v2,a4cbe7f9c144cc3cd74c832f0a67ca66bb076642a74f4bb0c9617e071168c006,3bbb517519cf3630149739361e54ba546bb192c418d8643f59ad22aca4b2ccee,,unknown,0.085915,0.085915,0.000000,44.419225,0.009017,44.419225,openrouter,deepseek/deepseek-v4-flash,14637,5,pono-llm-candidate-meta-v2-migrated,0.094932,44.514157,,llm-houdini-certificate,,2,18,,2,,,,,0,[],,12,,37768d66afc4b2b2f1556e3f8a4421f81b4cec4236d2da6c28b8d224504747df,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,{}
