schema,population_sha256,benchmark_id,btor2_sha256,source_family_id,category,expected_verdict,baseline_verdict,expected_match,engine,proof_time_sec,error,fast_results_json
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-crafted/simple_vardep_1.btor2,3150ef2f78a175ae28043995f25c3925e942962edbc67d3e82abe3b359dcf831,8985f07c344b3a56534b126a46c6ed75559902a8cb2dd0cba9021d276ab0b277,loop-crafted,safe,unsat,true,ind,0.760198,,"{""ind"": {""error"": """", ""exit"": 1, ""time"": 0.5997362323105335, ""verdict"": ""unsat""}, ""interp"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 0.7601980976760387, ""verdict"": ""cancelled""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-crafted/simple_vardep_2.btor2,85a29d0fbaa53b7a3334956665fd62c8607046b0018cfc191ca9dd629be1c0c9,f5c99d70689af86bf1da6e6df79bb2b588013415c462cf7ed291d41bd7b6dd7b,loop-crafted,safe,unsat,true,ind,0.744908,,"{""ind"": {""error"": """", ""exit"": 1, ""time"": 0.744889672845602, ""verdict"": ""unsat""}, ""interp"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 0.7449083887040615, ""verdict"": ""cancelled""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invariants/eq1.btor2,cb1ee0cb290f3b407f412cad8495f70614967ce23f3fdb0495a7964a7d891297,25968452e79f255f77f7ddf56686e96de1f39b0fe2c3e9fe8a7d7769999fc63d,loop-invariants,safe,unsat,true,interp,0.744389,,"{""ind"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 0.7443886250257492, ""verdict"": ""cancelled""}, ""interp"": {""error"": """", ""exit"": 1, ""time"": 0.744372084736824, ""verdict"": ""unsat""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invariants/eq2.btor2,417578414241a795a230153b1ecc4e300897779d747d0b134d65b8cb082996a0,2b884f568049abacc2302384cebfad7057c0047d91d1498fe79f643c2743cc69,loop-invariants,safe,unsat,true,interp,0.602561,,"{""ind"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 0.6025610901415348, ""verdict"": ""cancelled""}, ""interp"": {""error"": """", ""exit"": 1, ""time"": 0.6025497429072857, ""verdict"": ""unsat""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,loop-invariants,safe,timeout,false,ic3ia,20.080927,,"{""ind"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.004120636731386, ""verdict"": ""timeout""}, ""interp"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.004120636731386, ""verdict"": ""timeout""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,loop-invariants,unsafe,sat,true,ind,0.454866,,"{""ind"": {""error"": """", ""exit"": 0, ""time"": 0.45485423877835274, ""verdict"": ""sat""}, ""interp"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 0.45486587285995483, ""verdict"": ""cancelled""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invariants/linear-inequality-inv-c.btor2,e9f24ede41024d1e2d7e10a837fd1e4588f183ac5ea6367112225749069a1876,dc97bca5346ebea9d4e8c92b83e2ca9cd8148855ad4c6ca4860ef9c37fdb5a67,loop-invariants,safe,timeout,false,ic3ia,20.086438,,"{""ind"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.002495687454939, ""verdict"": ""timeout""}, ""interp"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.002495687454939, ""verdict"": ""timeout""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invgen/MADWiFi-encode_ie_ok.btor2,c66d8110ed7730153d550a07d80497b7f747c41f95e3ce01632eda5f84bac7d8,b5843dda5e7f67b8debddc1af1534c6e2f15021c6983ea2c674b999de7d1fde1,loop-invgen,safe,timeout,false,ic3ia,20.147620,,"{""ind"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.005856059491634, ""verdict"": ""timeout""}, ""interp"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.005856059491634, ""verdict"": ""timeout""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invgen/SpamAssassin-loop.btor2,8766f2f99e909941ced206fdb9a1dab7205d1110e0a0c2ee85db86100df3236b,68d0cd7105ca5c9fa73e412cfaf7aa09b6f04a9b26a9696fb8132e09b90da9ba,loop-invgen,safe,timeout,false,ic3ia,20.138099,,"{""ind"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.009874947369099, ""verdict"": ""timeout""}, ""interp"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 10.009874947369099, ""verdict"": ""timeout""}}"
pono-llm-paired-baseline-screen-v1,6d1c0ac18a2f6f3db650ed80ec2ec5265fd81928c6dbed2a1deb88b4940ed9fc,loop-invgen/apache-escape-absolute.btor2,88ae7d1cb479ffa2e6b9b6403c7e921ea32f376b3b59e222e0717ebfc667c53c,a9d0e09285ed105b29946d8da538f9627baac00fa7c12393fc4b3cae6a405c5e,loop-invgen,safe,unsat,true,interp,6.741750,,"{""ind"": {""error"": """", ""exit"": -15, ""partial_verdict"": """", ""time"": 6.741749539971352, ""verdict"": ""cancelled""}, ""interp"": {""error"": """", ""exit"": 1, ""time"": 6.741727974265814, ""verdict"": ""unsat""}}"
