schema,pilot_sha256,benchmark_id,content_sha256,source_family_id,selection_role,expected_verdict,config,phase_mode,verdict,engine,pool_candidate_count,selected_candidate_count,route_count,phase_count,candidate_sha256,route_sha256,certificate_time_sec,model_checker_time_sec,offline_time_sec,certificate_ok,certificate_checks_json,error,report_path,report_sha256
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-crafted/simple_vardep_1.btor2,3150ef2f78a175ae28043995f25c3925e942962edbc67d3e82abe3b359dcf831,8985f07c344b3a56534b126a46c6ed75559902a8cb2dd0cba9021d276ab0b277,safe-baseline-control,safe,all-phase-exhaustive,all,unsat,phase-grammar-certificate,1225,808,28,5,0300795ceabfe22863a9f8722f9b1b8cc75bd38c895468f10f64370db876a9d3,d901acd340489caeeecc9c0a1243a2dfe95b8e7220871f17197ff595d019233d,18.939178,0.000000,18.951292,true,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""unsat""}]",,reports/simple_vardep_1-ea882a8d4015.all-phase-exhaustive.json,69997b83fc2baadb0ec749cfbf7416d98922daa5097aca3c7882ea8bf3bd25d9
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-crafted/simple_vardep_1.btor2,3150ef2f78a175ae28043995f25c3925e942962edbc67d3e82abe3b359dcf831,8985f07c344b3a56534b126a46c6ed75559902a8cb2dd0cba9021d276ab0b277,safe-baseline-control,safe,global-exhaustive,global,timeout,phase-grammar-ic3ia,245,52,28,0,a00499a162566381a1f8384e16ef870545905e05f5f1d112fc071b0665411afa,d901acd340489caeeecc9c0a1243a2dfe95b8e7220871f17197ff595d019233d,0.349603,10.174227,10.528916,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,reports/simple_vardep_1-ea882a8d4015.global-exhaustive.json,76639c7aadc5bd22c1a5104b94c0c94dd214377fc7cf8e10ac8634d2a7ea00d7
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/eq1.btor2,cb1ee0cb290f3b407f412cad8495f70614967ce23f3fdb0495a7964a7d891297,25968452e79f255f77f7ddf56686e96de1f39b0fe2c3e9fe8a7d7769999fc63d,safe-baseline-control,safe,all-phase-exhaustive,all,timeout,phase-grammar-ic3ia,2580,1636,60,5,4fc56b0a40c44d0b3db34411a32c17dc5bb7ad8c70afbebf21e31aaa0f7f7d0d,d3c9985b7eb130f2fd27ef9fd431422cc44f597bc6e3b2451604424805082094,20.136879,10.060347,30.220012,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unknown""}, {""name"": ""C3 H=>notBAD"", ""result"": ""not-run""}]",,reports/eq1-0777b02f547c.all-phase-exhaustive.json,88fb48ad182ac6f206179ccfd018320cce27aa6ec7cd5b1e7f9f183381301a78
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/eq1.btor2,cb1ee0cb290f3b407f412cad8495f70614967ce23f3fdb0495a7964a7d891297,25968452e79f255f77f7ddf56686e96de1f39b0fe2c3e9fe8a7d7769999fc63d,safe-baseline-control,safe,global-exhaustive,global,unsat,phase-grammar-ic3ia,516,24,60,0,7ade7cdc9d7d9e4cbf78adf1db104c70704ffddc93adfc3055f473b365ab1bdd,d3c9985b7eb130f2fd27ef9fd431422cc44f597bc6e3b2451604424805082094,0.490674,9.195147,9.695407,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,reports/eq1-0777b02f547c.global-exhaustive.json,715e98c25eb6b8184ba718699189d144515254ad4a0a8bd6f04446fc07d367ea
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,safe-baseline-hard,safe,all-phase-exhaustive,all,timeout,phase-grammar-ic3ia,1008,330,20,6,9aa8bd0d048f0ceb63d901827916e5ab3fc474cfb722497c238d58ab97cdc23d,920f2d9759daa612dd0b57e3c21659d889b148b7e5dfd35ddc1d45bb046a5ff6,20.048078,10.181954,30.246062,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unknown""}, {""name"": ""C3 H=>notBAD"", ""result"": ""not-run""}]",,reports/linear-inequality-inv-a-480c579a4c34.all-phase-exhaustive.json,4b7aa242f2b7f428899fabdfe3d8075837845ffc361965a046a3cba2b7c68be5
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,safe-baseline-hard,safe,global-exhaustive,global,timeout,phase-grammar-ic3ia,168,4,20,0,b8acb981fb2b16bcb59d3bc4d09cefe53ab1f62b6d1b5cf2f1b24e21e182d895,920f2d9759daa612dd0b57e3c21659d889b148b7e5dfd35ddc1d45bb046a5ff6,0.873380,10.164607,11.041525,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,reports/linear-inequality-inv-a-480c579a4c34.global-exhaustive.json,4bddbc07d221be50b52750ca1f70addc21b5f92bfccee168652a47e1aaf3bdbd
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,unsafe-soundness-control,unsafe,all-phase-exhaustive,all,timeout,phase-grammar-ic3ia,1530,761,30,6,37bce8383bdd718ad751a19c45e5a6982980515198bca0983effd6139807d00b,024cb664c3a91044b0d1242651ef1d49aa20e91da26b72fd438d8986e18d7620,4.382438,10.063017,14.469173,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,reports/linear-inequality-inv-b-41df5663cfe1.all-phase-exhaustive.json,8e3510ad12d4b93ceeae2fdd642ffe7d6e175f96be8275cc57b426a9b90976f2
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,unsafe-soundness-control,unsafe,global-exhaustive,global,unknown,phase-grammar-ic3ia,255,4,30,0,a9dee15acaeffd0938cb29a59f661908399fa86d089aa3773b1c08a6ec3fe145,024cb664c3a91044b0d1242651ef1d49aa20e91da26b72fd438d8986e18d7620,0.623733,9.916636,10.545296,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,reports/linear-inequality-inv-b-41df5663cfe1.global-exhaustive.json,c1f791dcb67779603d860df451ddd74f48703411224fd6e9de776a3e2c041d38
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-c.btor2,e9f24ede41024d1e2d7e10a837fd1e4588f183ac5ea6367112225749069a1876,dc97bca5346ebea9d4e8c92b83e2ca9cd8148855ad4c6ca4860ef9c37fdb5a67,safe-baseline-hard,safe,all-phase-exhaustive,all,timeout,phase-grammar-ic3ia,1008,343,20,6,9c70b5f6b496c477b77c4b18ab993c5b9cc54bfb8fd6fd99847afcf9f802b65b,ce30a00ee31c30920ef0a9ebc66b8e047df4c7acf1e4396aec55b881f947705b,18.248664,10.069836,28.333623,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,reports/linear-inequality-inv-c-b8348f25165b.all-phase-exhaustive.json,fa0efa720dee628d92344ca24730fd2bb2dde7ac385a85a025084e97fcbd8ebd
pono-llm-paired-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-c.btor2,e9f24ede41024d1e2d7e10a837fd1e4588f183ac5ea6367112225749069a1876,dc97bca5346ebea9d4e8c92b83e2ca9cd8148855ad4c6ca4860ef9c37fdb5a67,safe-baseline-hard,safe,global-exhaustive,global,timeout,phase-grammar-ic3ia,168,4,20,0,d6eb6009dcfd4abc8ee96d89b4c7452855576bb1ecf39c2b6aa634c360da18f0,ce30a00ee31c30920ef0a9ebc66b8e047df4c7acf1e4396aec55b881f947705b,0.373827,10.067729,10.443352,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",,reports/linear-inequality-inv-c-b8348f25165b.global-exhaustive.json,e3c2ce753cf93c3c8e7bcd1557c66b936997a1179ee696ead867361e52efcc3b
