schema,pilot_sha256,benchmark_id,content_sha256,source_family_id,selection_role,expected_verdict,config,router,arm,route_valid,route_error,verdict,engine,route_count,pool_candidate_count,selected_candidate_count,phase_count,candidate_sha256,route_sha256,certificate_time_sec,model_checker_time_sec,offline_time_sec,generation_time_sec,end_to_end_sec,certificate_ok,certificate_checks_json,report_path,report_sha256
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,safe-baseline-hard,safe,llm-lifted,llm,lifted,false,route 2.constants values must be between -16 and 16,invalid-route,,0,0,0,6,,,0.000000,0.000000,0.000000,2.627793,2.627793,false,[],reports/linear-inequality-inv-a-480c579a4c34.llm-lifted.json,5afb513b0a4216e977a3bb6cd38186f9a3694ffb7a8db54b9afb5ff2a7e9b0c1
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,safe-baseline-hard,safe,llm-raw,llm,raw,false,route 5.variables must have one common width,invalid-route,,0,0,0,6,,,0.000000,0.000000,0.000000,2.819489,2.819489,false,[],reports/linear-inequality-inv-a-480c579a4c34.llm-raw.json,931e656c606f7d37debc54c3fcd2d7ac863eea7b9a6a86db5f373330b57411d3
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,safe-baseline-hard,safe,llm-source,llm,source,false,route 0.variables must have one common width,invalid-route,,0,0,0,6,,,0.000000,0.000000,0.000000,1.731765,1.731765,false,[],reports/linear-inequality-inv-a-480c579a4c34.llm-source.json,ef76940fbbb7cc6db022cc2a976722f3a4fea90194ed13a13c953edec8f9143e
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,safe-baseline-hard,safe,structural-all,structural,target,true,,timeout,phase-grammar-ic3ia,8,486,157,6,e51dbd9783679129c8251dbc129ce519da69303ac7cd0a4579042341afeb8412,560b8e3fd16471f3065a8e98150ca46adbd42d83f5e79dcb4947d11c176071bb,20.014921,10.314128,30.338831,0.000000,30.338831,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unknown""}, {""name"": ""C3 H=>notBAD"", ""result"": ""not-run""}]",reports/linear-inequality-inv-a-480c579a4c34.structural-all.json,925ccc48e1dec5445560c92eb963b391ce62f8da20063375e14ecdfea4017bee
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-a.btor2,7f4a50ea019dab779692e9efb0cc24f7defdb886e224a7c58193a012a852dc16,eeb7732635d3ae625ec7cbcbb76224da18092fae5c89bf7ab8d68b51e54f4815,safe-baseline-hard,safe,structural-global,structural,target,true,,unknown,phase-grammar-ic3ia,8,81,0,0,1b8059a30d6c6e46aaf6c04ca0a3d5150c47df8b7db25c1264c6d9c17c9edb2e,560b8e3fd16471f3065a8e98150ca46adbd42d83f5e79dcb4947d11c176071bb,0.314504,9.842626,10.160100,0.000000,10.160100,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",reports/linear-inequality-inv-a-480c579a4c34.structural-global.json,964af8542b7dad48474491ba9a74a87e8f9840db677f06faca8151c3634f923b
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,unsafe-soundness-control,unsafe,llm-lifted,llm,lifted,false,route 0.variables must have one common width,invalid-route,,0,0,0,6,,,0.000000,0.000000,0.000000,2.571071,2.571071,false,[],reports/linear-inequality-inv-b-41df5663cfe1.llm-lifted.json,2f9d72cb81a7af749fbf2a8df3bde24ec3f190b51132dbc2c560d0f47a1a3a3e
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,unsafe-soundness-control,unsafe,llm-raw,llm,raw,false,route 0.variables must have one common width,invalid-route,,0,0,0,6,,,0.000000,0.000000,0.000000,2.696336,2.696336,false,[],reports/linear-inequality-inv-b-41df5663cfe1.llm-raw.json,d607675632e83dd94168eb34c258c15c8e7aaf61ed04c5731d9cda2636b277b6
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,unsafe-soundness-control,unsafe,llm-source,llm,source,false,route 1.constants values must be between -16 and 16,invalid-route,,0,0,0,6,,,0.000000,0.000000,0.000000,2.388311,2.388311,false,[],reports/linear-inequality-inv-b-41df5663cfe1.llm-source.json,36198ed2afc4ea6b9f09ed894e97790ba1051678388538b074335940b0fc44dd
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,unsafe-soundness-control,unsafe,structural-all,structural,target,true,,timeout,phase-grammar-ic3ia,8,486,235,6,da16ead986c389068731496c60a6917411a29d0f31090d0244f3ad5cdd6ca4f7,2e8c89522f77579606e6dc62f77bc0c70e65ab0db33c6df5170abe59a526baa4,0.781436,10.114676,10.905654,0.000000,10.905654,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",reports/linear-inequality-inv-b-41df5663cfe1.structural-all.json,4b99c0490f06682d398438b2e275d137ba3f521b31f1d9ef70d8bf845dd8c2b9
pono-llm-routed-phase-matrix-v1,723eb64225d2c39fb4fba8477759307d184f6b40293ac4407dd3518aa1d34d0c,loop-invariants/linear-inequality-inv-b.btor2,25e9281249a4d8672c62e280c95e1bf5825f9d806caeb7722f5ca3934598544e,0f55e4302edb0a37ff86342391f10b4bccef988db9bdfaf948e856d980098b5e,unsafe-soundness-control,unsafe,structural-global,structural,target,true,,unknown,phase-grammar-ic3ia,8,81,0,0,274f5e5dc06d6f8becdf5a63a4fa26367e9c5341c2641956300cf177307b9352,2e8c89522f77579606e6dc62f77bc0c70e65ab0db33c6df5170abe59a526baa4,0.109529,8.376283,8.488576,0.000000,8.488576,false,"[{""name"": ""C1 Init=>H"", ""result"": ""unsat""}, {""name"": ""C2 inductive"", ""result"": ""unsat""}, {""name"": ""C3 H=>notBAD"", ""result"": ""sat""}]",reports/linear-inequality-inv-b-41df5663cfe1.structural-global.json,5761cbf9489a0af7b99cfdd043cd2cbf2c0b6bceb539b590290b76573ef339d4
